symbol,organ_name,icb_name,exchange
TVM,Công ty Cổ phần Tư vấn đầu tư Mỏ và công nghiệp - Vinacomin,Công nghiệp,UPCOM
DM7,Công ty Cổ phần Dệt may 7,Hàng Tiêu dùng,UPCOM
DXP,Công ty Cổ phần Cảng Đoạn Xá,Công nghiệp,HNX
DXP,Công ty Cổ phần Cảng Đoạn Xá,Công nghiệp,HNX30
HPP,Công ty Cổ phần Sơn Hải Phòng,Công nghiệp,UPCOM
QHW,Công ty Cổ phần Nước khoáng Quảng Ninh,Hàng Tiêu dùng,UPCOM
SVI,Công ty Cổ phần Bao bì Biên Hòa,Công nghiệp,HOSE
LCD,Công ty Cổ phần Lắp máy - Thí nghiệm cơ điện,Công nghiệp,HNX
MCF,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,Hàng Tiêu dùng,HNX
SVT,Công ty Cổ phần Công nghệ Sài Gòn Viễn Đông,Nguyên vật liệu,HOSE
THU,Công ty Cổ phần Môi trường và Công trình đô thị Thanh Hóa,Công nghiệp,UPCOM
TIX,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình,Tài chính,HOSE
NAV,Công ty Cổ phần Nam Việt,Công nghiệp,HOSE
TJC,Công ty Cổ phần Dịch vụ Vận tải và Thương mại,Công nghiệp,HNX
NNT,Công ty Cổ phần Cấp nước Ninh Thuận,Tiện ích Cộng đồng,UPCOM
NVL,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,Tài chính,HOSE
MND,Công ty Cổ phần Môi trường Nam Định,Công nghiệp,UPCOM
NDN,Công ty Cổ phần Đầu tư Phát triển Nhà Đà Nẵng,Tài chính,HNX
NDX,Công ty Cổ phần Xây lắp Phát triển Nhà Đà Nẵng,Công nghiệp,HNX
NTB,Công ty Cổ phần Đầu tư Xây dựng và Khai thác Công trình giao thông 584,Tài chính,UPCOM
NED,Công ty Cổ phần Đầu tư và Phát triển Điện Tây Bắc,Công nghiệp,UPCOM
NFC,Công ty Cổ phần Phân lân Ninh Bình,Nguyên vật liệu,HNX
VCE,Công ty Cổ phần Xây lắp Môi trường,Công nghiệp,UPCOM
NXT,Công ty Cổ phần Sản xuất và Cung ứng vật liệu xây dựng Kon Tum,Công nghiệp,UPCOM
ONW,Công ty Cổ phần Dịch vụ Một Thế giới,Dịch vụ Tiêu dùng,UPCOM
NKG,Công ty Cổ phần Thép Nam Kim,Nguyên vật liệu,HOSE
ACS,Công ty Cổ phần Xây lắp Thương mại 2,Công nghiệp,UPCOM
ATA,Công ty Cổ phần NTACO,Hàng Tiêu dùng,UPCOM
BAF,Công ty Cổ phần Nông nghiệp BAF Việt Nam,Hàng Tiêu dùng,HOSE
KIP,Công ty Cổ phần K.I.P Việt Nam,Công nghiệp,UPCOM
TLD,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Thăng Long,Tài chính,HOSE
BAX,Công ty Cổ phần Thống Nhất,Công nghiệp,HNX
TLG,Công ty Cổ phần Tập đoàn Thiên Long,Hàng Tiêu dùng,HOSE
BTG,Công ty Cổ phần Bao bì Tiền Giang,Công nghiệp,UPCOM
PLC,Tổng Công ty Hóa dầu Petrolimex - Công ty Cổ phần,Nguyên vật liệu,HNX
PLC,Tổng Công ty Hóa dầu Petrolimex - Công ty Cổ phần,Nguyên vật liệu,HNX30
VPS,Công ty Cổ phần Thuốc sát trùng Việt Nam,Nguyên vật liệu,HOSE
ANV,Công ty Cổ phần Nam Việt,Hàng Tiêu dùng,HOSE
TLH,Công ty Cổ phần Tập đoàn Thép Tiến Lên,Nguyên vật liệu,HOSE
CMI,Công ty Cổ phần CMISTONE Việt Nam,Công nghiệp,UPCOM
DCS,Công ty Cổ phần Tập đoàn Đại Châu,Hàng Tiêu dùng,UPCOM
TLT,Công ty Cổ phần Viglacera Thăng Long,Công nghiệp,UPCOM
PPS,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Công nghiệp,HNX
CTI,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Công nghiệp,HOSE
DAG,Công ty Cổ phần Tập đoàn Nhựa Đông Á,Nguyên vật liệu,HOSE
DOC,Công ty Cổ phần Vật tư nông nghiệp Đồng Nai,Nguyên vật liệu,UPCOM
DRH,Công ty Cổ phần DRH Holdings,Tài chính,HOSE
BVN,Công ty Cổ phần Bông Việt Nam,Hàng Tiêu dùng,UPCOM
DVC,Công ty Cổ phần Thương mại dịch vụ Tổng Hợp Cảng Hải Phòng,Tiện ích Cộng đồng,UPCOM
MGC,Công ty Cổ phần Địa chất mỏ - TKV,Nguyên vật liệu,UPCOM
TMX,Công ty Cổ phần VICEM Thương mại Xi măng,Công nghiệp,HNX
GMC,Công ty Cổ phần Garmex Sài Gòn,Hàng Tiêu dùng,HOSE
DDH,Công ty Cổ phần Đảm bảo giao thông đường thủy Hải Phòng,Công nghiệp,UPCOM
HCT,Công ty Cổ phần Thương mại - Dịch vụ - Vận tải Xi măng Hải Phòng,Công nghiệp,HNX
HDO,Công ty Cổ phần Hưng Đạo Container,Công nghiệp,UPCOM
QTP,Công ty Cổ phần Nhiệt điện Quảng Ninh,Tiện ích Cộng đồng,UPCOM
SGN,Công ty Cổ phần Phục vụ mặt đất Sài Gòn,Công nghiệp,HOSE
TNB,Công ty Cổ phần Thép Nhà Bè - VNSTEEL,Nguyên vật liệu,UPCOM
VPD,Công ty Cổ phần Phát triển Điện lực Việt Nam,Tiện ích Cộng đồng,HOSE
KPF,Công ty Cổ phần Đầu tư Tài sản KOJI,Công nghiệp,HOSE
PCE,Công ty Cổ phần Phân bón và hóa chất dầu khí Miền Trung,Nguyên vật liệu,HNX
TSJ,Công ty Cổ phần Du lịch Dịch vụ Hà Nội,Dịch vụ Tiêu dùng,UPCOM
DKC,Công ty Cổ phần Chợ Lạng Sơn,Dịch vụ Tiêu dùng,UPCOM
PXC,Công ty Cổ phần Phát triển Đô thị Dầu khí,Tài chính,UPCOM
TNC,Công ty Cổ phần Cao su Thống Nhất,Nguyên vật liệu,HOSE
VIF,Tổng Công ty Lâm nghiệp Việt Nam - Công ty Cổ phần,Nguyên vật liệu,HNX
CCA,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cần Thơ,Hàng Tiêu dùng,UPCOM
NAU,Công ty Cổ phần Môi trường và Công trình Đô thị Nghệ An,Công nghiệp,UPCOM
NDP,Công ty Cổ phần Dược phẩm 2/9,Dược phẩm và Y tế,UPCOM
PWS,Công ty Cổ phần Cấp thoát nước Phú Yên,Tiện ích Cộng đồng,UPCOM
BQB,Công ty Cổ phần Bia Hà Nội - Quảng Bình,Hàng Tiêu dùng,UPCOM
TNG,Công ty Cổ phần Đầu tư và Thương mại TNG,Hàng Tiêu dùng,HNX
TNG,Công ty Cổ phần Đầu tư và Thương mại TNG,Hàng Tiêu dùng,HNX30
SDK,Công ty Cổ phần Cơ khí Luyện Kim,Công nghiệp,UPCOM
TBH,Công ty Cổ phần Tổng Bách Hóa,Công nghiệp,UPCOM
INC,Công ty Cổ phần Tư vấn Đầu tư IDICO,Công nghiệp,HNX
HDB,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,Ngân hàng,HOSE
HDB,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,Ngân hàng,VN30
HEC,Công ty Cổ phần Tư vấn xây dựng Thủy Lợi II,Công nghiệp,UPCOM
ILS,Công ty Cổ phần Đầu tư Thương mại và Dịch vụ Quốc tế,Công nghiệp,UPCOM
KCE,Công ty Cổ phần Bê tông Ly tâm Điện lực Khánh Hòa,Công nghiệp,UPCOM
ITS,"Công ty Cổ phần Đầu tư, Thương mại và Dịch vụ - Vinacomin",Công nghiệp,UPCOM
KDH,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,Tài chính,HOSE
KTL,Công ty Cổ phần Kim khí Thăng Long,Nguyên vật liệu,UPCOM
KVC,Công ty Cổ phần Sản xuất Xuất nhập khẩu Inox Kim Vĩ,Nguyên vật liệu,UPCOM
ORS,Công ty Cổ phần Chứng khoán Tiên Phong,Tài chính,HOSE
VMS,Công ty Cổ phần Phát triển Hàng Hải,Công nghiệp,HNX
PCC,Công ty Cổ phần Tập đoàn Xây lắp 1 - Petrolimex,Công nghiệp,UPCOM
TBX,Công ty Cổ phần Xi măng Thái Bình,Công nghiệp,HNX
LPB,Ngân hàng Thương mại Cổ phần Lộc Phát Việt Nam,Ngân hàng,HOSE
PEC,Công ty Cổ phần Cơ khí Điện lực,Công nghiệp,UPCOM
VMG,Công ty Cổ phần Thương mại và Dịch vụ Dầu khí Vũng Tàu,Tiện ích Cộng đồng,UPCOM
SDP,Công ty Cổ phần SDP,Công nghiệp,UPCOM
MAC,Công ty Cổ phần Cung ứng và Dịch vụ Kỹ thuật Hàng Hải,Công nghiệp,HNX
MAS,Công ty cổ phần Dịch vụ Hàng Không Sân Bay Đà Nẵng,Dịch vụ Tiêu dùng,HNX
TDP,Công ty Cổ phần Thuận Đức,Công nghiệp,HOSE
TH1,Công ty Cổ phần Xuất nhập khẩu Tổng hợp I Việt Nam,Dịch vụ Tiêu dùng,UPCOM
AMP,Công ty Cổ phần Armephaco,Dược phẩm và Y tế,UPCOM
PEN,Công ty Cổ phần Xây lắp III Petrolimex,Công nghiệp,HNX
PMS,Công ty Cổ phần Cơ khí Xăng dầu,Công nghiệp,HNX
PMT,Công ty Cổ phần Viễn thông Telvina Việt Nam,Công nghệ Thông tin,UPCOM
BCF,Công ty Cổ phần Thực phẩm Bích Chi,Hàng Tiêu dùng,HNX
BMJ,Công ty Cổ phần Khoáng sản Miền Đông AHP,Nguyên vật liệu,UPCOM
BTT,Công ty Cổ phần Thương mại - Dịch vụ Bến Thành,Dịch vụ Tiêu dùng,HOSE
MCO,Công ty Cổ phần Đầu tư và Xây dựng BDC Việt Nam,Công nghiệp,HNX
MDA,Công ty Cổ phần Môi trường Đô thị Đông Anh,Công nghiệp,UPCOM
PBT,Công ty Cổ Phần Bao bì và Thương mại Dầu khí Bình Sơn,Công nghiệp,UPCOM
MDC,Công ty Cổ phần Than Mông Dương - Vinacomin,Nguyên vật liệu,HNX
MDF,Công ty Cổ phần Gỗ MDF VRG - Quảng Trị,Nguyên vật liệu,UPCOM
NSH,Công ty Cổ phần Tập đoàn Nhôm Sông Hồng Shalumi,Nguyên vật liệu,HNX
PVD,Tổng Công ty Cổ phần Khoan và Dịch vụ khoan Dầu khí,Dầu khí,HOSE
ODE,Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE,Dịch vụ Tiêu dùng,UPCOM
PX1,Công ty Cổ phần Xi măng Sông Lam 2,Công nghiệp,UPCOM
RAT,Công ty Cổ phần Vận tải và Thương mại Đường sắt,Công nghiệp,UPCOM
ABB,Ngân hàng Thương mại Cổ phần An Bình,Ngân hàng,UPCOM
S27,Công ty Cổ phần Sông Đà 27,Công nghiệp,UPCOM
MTS,Công ty Cổ phần Vật tư - TKV,Công nghiệp,UPCOM
APP,Công ty Cổ phần Phát triển Phụ gia và Sản phẩm dầu mỏ,Nguyên vật liệu,UPCOM
S72,Công ty Cổ phần Sông Đà 7.02,Công nghiệp,UPCOM
NQN,Công ty Cổ phần Nước sạch Quảng Ninh,Tiện ích Cộng đồng,UPCOM
SGH,Công ty Cổ phần Khách sạn Sài Gòn,Dịch vụ Tiêu dùng,HNX
BBT,Công ty Cổ phần Bông Bạch Tuyết,Hàng Tiêu dùng,UPCOM
BFC,Công ty Cổ phần Phân bón Bình Điền,Nguyên vật liệu,HOSE
BED,Công ty Cổ phần Sách và Thiết bị trường học Đà Nẵng,Dịch vụ Tiêu dùng,HNX
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,HOSE
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,VN30
BSH,Công ty Cổ phần Bia Sài Gòn - Hà Nội,Hàng Tiêu dùng,UPCOM
SBH,Công ty Cổ phần Thủy điện Sông Ba Hạ,Tiện ích Cộng đồng,UPCOM
TMP,Công ty Cổ phần Thủy điện Thác Mơ,Tiện ích Cộng đồng,HOSE
BMP,Công ty Cổ phần Nhựa Bình Minh,Công nghiệp,HOSE
BRC,Công ty Cổ phần Cao su Bến Thành,Nguyên vật liệu,HOSE
BTD,Công ty Cổ phần Bê tông ly tâm Thủ Đức,Công nghiệp,UPCOM
BTV,Công ty Cổ phần Dịch vụ Du lịch Bến Thành,Dịch vụ Tiêu dùng,UPCOM
BTU,Công ty Cổ phần Công trình Đô thị Bến Tre,Công nghiệp,UPCOM
BWA,Công ty Cổ phần Cấp thoát nước và Xây dựng Bảo Lộc,Tiện ích Cộng đồng,UPCOM
C22,Công ty Cổ phần 22,Hàng Tiêu dùng,UPCOM
C47,Công ty Cổ phần Xây dựng 47,Công nghiệp,HOSE
CAD,Công ty Cổ phần Chế biến và Xuất khẩu Thủy sản Cadovimex,Hàng Tiêu dùng,UPCOM
SD3,Công ty Cổ phần Sông Đà 3,Công nghiệp,UPCOM
GMH,Công ty Cổ phần Minh Hưng Quảng Trị,Công nghiệp,HOSE
BIG,Công ty cổ phần BIG Invest Group,Tài chính,UPCOM
ABR,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,Công nghiệp,HOSE
SD9,Công ty Cổ phần Sông Đà 9,Công nghiệp,HNX
SBT,Công ty Cổ phần Thành Thành Công - Biên Hòa,Hàng Tiêu dùng,HOSE
GTS,Công ty Cổ phần Công trình Giao thông Sài Gòn,Công nghiệp,UPCOM
CTX,Tổng Công ty Cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,Công nghiệp,UPCOM
TOT,Công ty Cổ phần Transimex Logistics,Công nghiệp,HNX
TCD,Công ty cổ phần Tập đoàn Xây dựng Tracodi,Công nghiệp,HOSE
SFN,Công ty Cổ phần Dệt lưới Sài Gòn,Công nghiệp,HNX
SD6,Công ty Cổ phần Sông Đà 6,Công nghiệp,UPCOM
TRC,Công ty Cổ phần Cao su Tây Ninh,Nguyên vật liệu,HOSE
VEA,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam - CTCP,Công nghiệp,UPCOM
TRS,Công ty Cổ phần Vận tải và Dịch vụ Hàng Hải,Công nghiệp,UPCOM
TAR,Công ty Cổ phần Nông nghiệp Công nghệ cao Trung An,Hàng Tiêu dùng,UPCOM
BWE,Công ty Cổ phần - Tổng công ty Nước - Môi trường Bình Dương,Tiện ích Cộng đồng,HOSE
CNC,Công ty Cổ phần Công nghệ cao Traphaco,Dược phẩm và Y tế,UPCOM
DGT,Công ty Cổ phần Công trình Giao thông Đồng Nai,Công nghiệp,UPCOM
DZM,Công ty Cổ phần Cơ điện Dzĩ An,Công nghiệp,UPCOM
TSD,Công ty Cổ phần Du lịch Trường Sơn Coecco,Dịch vụ Tiêu dùng,UPCOM
SBG,Công ty Cổ Phần Tập Đoàn Cơ Khí Công Nghệ Cao Siba,Công nghiệp,HOSE
TPS,Công ty Cổ phần Bến bãi vận tải Sài Gòn,Dịch vụ Tiêu dùng,UPCOM
SSH,Công ty Cổ phần Phát triển Sunshine Homes,Tài chính,UPCOM
VNZ,Công ty Cổ phần VNG,Dịch vụ Tiêu dùng,UPCOM
MVN,Tổng Công ty Hàng hải Việt Nam - CTCP,Công nghiệp,UPCOM
AAT,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,Hàng Tiêu dùng,HOSE
AGX,Công ty Cổ phần Thực phẩm Nông sản Xuất khẩu Sài Gòn,Dịch vụ Tiêu dùng,UPCOM
TTB,Công ty Cổ phần TTBGROUP,Công nghiệp,UPCOM
ARM,Công ty Cổ phần Xuất nhập khẩu Hàng không,Công nghiệp,HNX
IDJ,Công ty Cổ phần Đầu tư IDJ Việt Nam,Tài chính,HNX
BSA,Công ty Cổ phần Thủy điện Buôn Đôn,Tiện ích Cộng đồng,UPCOM
BHG,Công ty Cổ phần Chè Biển Hồ,Hàng Tiêu dùng,UPCOM
KSH,Công ty Cổ phần Damac GLS,Nguyên vật liệu,UPCOM
SGS,Công ty Cổ phần Vận tải biển Sài Gòn,Công nghiệp,UPCOM
SHG,Tổng Công ty Cổ phần Sông Hồng,Công nghiệp,UPCOM
TTT,Công ty Cổ phần Du Lịch - Thương Mại Tây Ninh,Dịch vụ Tiêu dùng,HNX
C32,Công ty Cổ phần CIC39,Công nghiệp,HOSE
CFV,Công ty Cổ phần Cà phê Thắng Lợi,Hàng Tiêu dùng,UPCOM
LBM,Công ty Cổ phần Khoáng sản và Vật liệu xây dựng Lâm Đồng,Công nghiệp,HOSE
SIP,Công ty Cổ phần Đầu tư Sài Gòn VRG,Tài chính,HOSE
CDO,Công ty Cổ phần Tư vấn Thiết kế và Phát triển Đô thị,Công nghiệp,UPCOM
CLX,Công ty Cổ phần Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),Hàng Tiêu dùng,UPCOM
CLC,Công ty Cổ phần Cát Lợi,Hàng Tiêu dùng,HOSE
CLG,Công ty Cổ phần Đầu tư và Phát triển Nhà đất Cotec,Tài chính,UPCOM
LDW,Công ty Cổ phần Cấp thoát nước Lâm Đồng,Tiện ích Cộng đồng,UPCOM
AMS,Công ty Cổ phần Cơ khí Xây dựng AMECC,Công nghiệp,UPCOM
BSP,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Hàng Tiêu dùng,UPCOM
CAP,Công ty Cổ phần Lâm Nông sản Thực phẩm Yên Bái,Nguyên vật liệu,HNX
CAP,Công ty Cổ phần Lâm Nông sản Thực phẩm Yên Bái,Nguyên vật liệu,HNX30
TTF,Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,Nguyên vật liệu,HOSE
MSB,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,Ngân hàng,HOSE
SHB,Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội,Ngân hàng,HOSE
SHB,Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội,Ngân hàng,VN30
TVN,Tổng Công ty Thép Việt Nam - Công ty Cổ phần,Nguyên vật liệu,UPCOM
TRT,Công ty Cổ phần RedstarCera,Công nghiệp,UPCOM
CC1,Tổng Công ty Xây dựng số 1 - CTCP,Công nghiệp,UPCOM
TCK,Tổng Công ty Cơ khí Xây dựng - CTCP,Công nghiệp,UPCOM
ICN,Công ty Cổ phần Đầu tư Xây dựng Dầu khí IDICO,Công nghiệp,UPCOM
NAB,Ngân hàng Thương mại Cổ phần Nam Á,Ngân hàng,HOSE
DAD,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Đà Nẵng,Dịch vụ Tiêu dùng,HNX
VNT,Công ty Cổ phần Giao nhận Vận tải Ngoại Thương,Công nghiệp,HNX
BAB,Ngân hàng Thương mại Cổ phần Bắc Á,Ngân hàng,HNX
LAW,Công ty Cổ phần Cấp thoát nước Long An,Tiện ích Cộng đồng,UPCOM
VTK,Công ty Cổ phần Tư vấn và Dịch vụ Viettel,Công nghiệp,UPCOM
VNY,Công ty Cổ phần Thuốc thú y Trung ương I,Nguyên vật liệu,UPCOM
DL1,Công ty Cổ phần Tập đoàn Alpha Seven,Công nghiệp,HNX
DMC,Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO,Dược phẩm và Y tế,HOSE
DNM,Tổng Công ty Cổ phần Y tế Danameco,Dược phẩm và Y tế,UPCOM
CDR,Công ty Cổ phần Xây dựng Cao su Đồng Nai,Công nghiệp,UPCOM
NHH,Công ty Cổ phần Nhựa Hà Nội,Nguyên vật liệu,HOSE
SJS,Công ty Cổ phần SJ Group,Tài chính,HOSE
GND,Công ty Cổ phần Gạch ngói Đồng Nai,Công nghiệp,UPCOM
EFI,Công ty Cổ phần Đầu tư Tài chính Giáo dục,Tài chính,UPCOM
SPC,Công ty Cổ phần Bảo vệ Thực vật Sài Gòn,Nguyên vật liệu,HNX
TQW,Công ty Cổ phần Cấp thoát nước Tuyên Quang,Tiện ích Cộng đồng,UPCOM
PEG,Tổng Công ty Thương mại Kỹ thuật và Đầu tư - Công ty Cổ phần,Tiện ích Cộng đồng,UPCOM
